year,city,brand,flavour,sales_quant,price,sales_value
2021,SHEFFIELD,F,BERRY,1398,3.2,4473.6
2020,BIRMINGHAM,C,STRAWBERRY,1764,3.1,5468.4
2022,LEEDS,C,BERRY,1352,3,4056
2022,LIVERPOOL,C,APPLE,1928,3,5784
2020,LONDON,D,STRAWBERRY,1424,3.2,4556.8
2021,NOTTINGHAM,A,ORANGE,1566,2.9,4541.4
2022,MANCHESTER,C,GRAPE,1889,,0
2022,LEEDS,E,APPLE,1920,2.9,5568
2022,LIVERPOOL,B,GRAPE,1320,3.1,4092
2020,LONDON,B,BERRY,1748,3.2,5593.6
2022,LEEDS,D,APPLE,1036,3.2,3315.2
2020,NEWCASTLE,C,GRAPE,1181,3.1,3661.1
2021,NOTTINGHAM,A,STRAWBERRY,1177,3.2,3766.4
2021,LEEDS,D,ORANGE,1216,3.2,3891.2
2020,LEEDS,B,ORANGE,1650,3.2,5280
2022,LONDON,F,GRAPE,1736,3.1,5381.6
2022,,D,APPLE,1522,3.65,5555.3
2022,BIRMINGHAM,E,BERRY,1957,3.1,6066.7
2022,NOTTINGHAM,F,APPLE,1489,3.1,4615.9
2022,SHEFFIELD,C,STRAWBERRY,1024,3,3072
2020,LEICESTER,A,LEMON,1143,3.2,3657.6
2021,NEWCASTLE,D,BERRY,1446,3,4338
2020,MANCHESTER,D,ORANGE,1170,3.1,3627
2022,LEEDS,A,STRAWBERRY,1222,2.9,3543.8
2020,MANCHESTER,A,LEMON,1548,3.2,4953.6
2021,LEICESTER,A,ORANGE,1202,3,3606
2020,NEWCASTLE,F,LEMON,1448,2.9,4199.2
2021,,E,GRAPE,1296,3,3888
2020,NOTTINGHAM,B,LEMON,1355,3,4065
2021,NEWCASTLE,D,APPLE,1332,2.9,3862.8
2021,MANCHESTER,D,STRAWBERRY,1263,2.9,3662.7
2022,MANCHESTER,D,GRAPE,1522,,4870.4
2022,NOTTINGHAM,F,STRAWBERRY,1712,3,5136
2020,LEEDS,C,ORANGE,1471,3.1,4560.1
2020,LEEDS,D,STRAWBERRY,1293,3.2,4137.6
2020,SHEFFIELD,E,BERRY,1398,3.2,4473.6
2021,SHEFFIELD,A,STRAWBERRY,1939,3.2,6204.8
2021,LIVERPOOL,C,LEMON,1080,3.2,3456
2021,SHEFFIELD,E,BERRY,1389,3.1,4305.9
2022,LEICESTER,C,APPLE,1844,3.2,5900.8
2021,NEWCASTLE,C,ORANGE,1387,2.9,4022.3
2020,LEICESTER,D,ORANGE,1148,3.2,3673.6
2022,MANCHESTER,C,APPLE,1757,2.9,5095.3
2020,NOTTINGHAM,D,BERRY,1392,2.9,4036.8
2022,LEICESTER,E,GRAPE,1317,3,3951
2020,LEICESTER,D,STRAWBERRY,1402,2.9,4065.8
2020,LONDON,F,STRAWBERRY,1518,3,4554
2022,MANCHESTER,A,LEMON,1928,3,5784
2020,MANCHESTER,F,LEMON,1251,3,3753
2022,,A,APPLE,1128,3.1,3496.8
2021,SHEFFIELD,C,LEMON,1241,,0
2020,BIRMINGHAM,D,GRAPE,1787,3,5361
2020,LONDON,B,STRAWBERRY,1104,3,3312
2021,NEWCASTLE,C,STRAWBERRY,1909,3,5727
2021,NEWCASTLE,A,BERRY,1551,3.2,4963.2
2022,SHEFFIELD,B,BERRY,1077,3,3231
2022,LIVERPOOL,E,GRAPE,1943,2.9,5634.7
2022,BIRMINGHAM,C,LEMON,1709,3.2,5468.8
2022,BIRMINGHAM,A,BERRY,1897,3.1,5880.7
2020,NEWCASTLE,C,APPLE,1473,2.9,4271.7
2022,LEICESTER,B,BERRY,1856,3,5568
2021,LEICESTER,F,BERRY,1026,3,3078
2020,LIVERPOOL,C,GRAPE,1673,3,5019
2020,LIVERPOOL,D,APPLE,1785,3.1,5533.5
2021,LEEDS,C,ORANGE,1576,3,4728
2022,NEWCASTLE,A,APPLE,1386,2.9,4019.4
2021,MANCHESTER,A,STRAWBERRY,1705,2.9,4944.5
2022,,A,LEMON,1341,3,4023
2021,MANCHESTER,A,ORANGE,1172,3.1,3633.2
2021,BIRMINGHAM,A,GRAPE,1314,3.8,4993.2
2020,NEWCASTLE,D,GRAPE,1137,3,3411
2022,BIRMINGHAM,E,STRAWBERRY,1148,3.2,3673.6
2022,LONDON,F,APPLE,1864,3.1,5778.4
2021,NOTTINGHAM,E,ORANGE,1992,2.9,5776.8
2020,BIRMINGHAM,C,LEMON,1115,3,3345
2021,SHEFFIELD,C,ORANGE,1190,2.9,3451
2021,LEEDS,B,APPLE,1298,3.2,4153.6
2022,NOTTINGHAM,D,STRAWBERRY,1722,3,5166
2021,LONDON,D,GRAPE,1140,3.1,3534
2020,MANCHESTER,A,LEMON,1077,3.1,3338.7
2021,NEWCASTLE,B,ORANGE,1842,3.2,5894.4
